2017-10-28 03:34:42,596 [Worker-91] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:34:42,596 [Worker-91] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 03:34:42,596 [Worker-91] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:34:42,596 [Worker-91] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 03:54:50,885 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:54:50,901 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 03:54:50,902 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:54:50,903 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 03:55:49,360 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:55:49,361 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 03:55:49,376 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:55:49,376 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 03:57:58,584 [Worker-103] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:57:58,584 [Worker-103] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 03:57:58,584 [Worker-103] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:57:58,584 [Worker-103] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 03:58:45,813 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:58:45,813 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 03:58:45,813 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:58:45,813 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 03:59:54,335 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:59:54,336 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 03:59:54,338 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:59:54,339 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 04:00:05,880 [Worker-102] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:00:05,880 [Worker-102] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 04:00:05,880 [Worker-102] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:00:05,880 [Worker-102] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 04:00:11,334 [Worker-98] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:00:11,335 [Worker-98] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 04:00:11,337 [Worker-98] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:00:11,338 [Worker-98] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 04:00:23,259 [Worker-92] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:00:23,260 [Worker-92] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 04:00:23,262 [Worker-92] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:00:23,263 [Worker-92] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 04:02:03,116 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-10-28 04:02:59,857 [Worker-101] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\BackupProject\MedioxyPharm
2017-10-28 04:02:59,857 [Worker-101] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2017-10-28 04:08:32,813 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-10-28 04:08:44,845 [Worker-99] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\BackupProject\MedioxyPharm
2017-10-28 04:08:44,845 [Worker-99] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2017-10-28 04:08:45,346 [Worker-99] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com:MedioxyPharm:0.0.1-SNAPSHOT @ F:\BackupProject\MedioxyPharm\pom.xml.
2017-10-28 04:08:48,089 [Worker-99] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of MedioxyPharm
2017-10-28 04:08:48,125 [Worker-99] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for MedioxyPharm
2017-10-28 04:10:23,732 [Worker-102] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com:MedioxyPharm:0.0.1-SNAPSHOT @ F:\BackupProject\MedioxyPharm\pom.xml.
2017-10-28 04:10:26,028 [Worker-102] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:10:26,028 [Worker-102] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 04:10:26,028 [Worker-102] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:10:26,028 [Worker-102] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 04:10:26,028 [Worker-102] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of MedioxyPharm
2017-10-28 04:10:26,028 [Worker-102] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for MedioxyPharm
2017-10-28 04:10:26,028 [Worker-102] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:10:27,108 [Worker-104] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:10:27,108 [Worker-104] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 04:10:27,125 [Worker-104] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:10:27,126 [Worker-104] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 04:10:57,240 [Worker-107] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for MedioxyPharm
2017-10-28 04:10:57,626 [Worker-107] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-28 04:10:57,626 [Worker-107] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\main\resources
2017-10-28 04:10:57,626 [Worker-107] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-28 04:10:57,626 [Worker-107] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\test\resources
2017-10-28 04:10:57,726 [Worker-107] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:10:57,726 [Worker-107] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 04:10:57,726 [Worker-107] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:10:57,726 [Worker-107] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 04:10:57,726 [Worker-107] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of MedioxyPharm
2017-10-28 04:10:57,726 [Worker-107] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for MedioxyPharm
2017-10-28 04:10:57,726 [Worker-107] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:13:55,262 [Worker-108] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com:MedioxyPharmBackend:0.0.1-SNAPSHOT @ F:\BackupProject\MedioxyPharmBackend\pom.xml.
2017-10-28 04:13:55,647 [Worker-108] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com:MedioxyPharm:0.0.1-SNAPSHOT @ F:\BackupProject\MedioxyPharm\pom.xml.
2017-10-28 04:13:56,309 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-28 04:13:56,309 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\main\resources
2017-10-28 04:13:56,310 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-28 04:13:56,311 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\test\resources
2017-10-28 04:13:58,494 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-28 04:13:58,495 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\main\resources
2017-10-28 04:13:58,496 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-28 04:13:58,497 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\test\resources
2017-10-28 04:14:00,463 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:14:00,465 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 04:14:00,466 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 04:14:00,469 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-28 04:16:25,767 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-10-28 04:16:28,471 [Worker-114] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\BackupProject\MedioxyPharm
2017-10-28 04:16:28,471 [Worker-114] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B 
2017-10-28 04:17:44,912 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-10-28 04:17:48,797 [Worker-108] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\BackupProject\MedioxyPharm
2017-10-28 04:17:48,797 [Worker-108] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B com
2017-10-28 04:18:19,736 [Worker-119] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/io/takari/m2e/workspace/org.eclipse.m2e.workspace.cli/0.3.1/org.eclipse.m2e.workspace.cli-0.3.1-sources.jar
